90 200
4 1 65.1
3 1 65.25
4 2 65.7
3 2 65.7
2 1 66.3
1 1 66.45
1 2 66.9
2 2 66.9
2 1 67.5
1 1 67.65
1 2 68.1
2 2 68.1
4 1 68.7
3 1 68.85
4 2 69.3
3 2 69.3
4 1 69.9
3 1 70.05
4 2 70.5
3 2 70.5

1 0 70.8
2 0 71.1
3 0 71.4
4 0 71.7
3 0 72.0
2 0 72.3
1 0 72.6
2 0 72.9
1 0 73.2
2 0 73.5
3 0 73.8
4 0 74.1
3 0 74.4
2 0 74.7
1 0 75.0
2 0 75.3
1 0 75.6
2 0 75.9
1 0 76.2
2 0 76.5
3 0 76.8
4 0 77.1
3 0 77.4
2 0 77.7
1 0 78
2 0 78.3
3 0 78.6
4 0 78.9
3 0 79.2
2 0 79.5
2 0 79.8
1 0 80.1

1 0 82.8
2 0 82.8
3 0 82.8
4 0 82.8
-----
5 0 3.75 0.8 0.8
5 0 3.9 0.9 0.9
5 0 4.05 1.0 1.0
5 0 4.2 1.1 1.1
5 0 4.35 1.2 1.2
5 0 4.5 1.3 1.3
5 0 4.65 1.4 1.4
6 0 4.95 1.3 1.3
6 0 5.1 1.4 1.4
6 0 5.25 1.5 1.5
6 0 5.4 1.6 1.6
6 0 5.55 1.7 1.7
6 0 5.7 1.8 1.8
6 0 5.85 1.9 1.9

5 0 6 2.0 2.0
6 0 6 2.0 2.0
6 0 6.6 1.2 1.2
5 0 7.2 1.6 1.6
6 0 7.8 1.6 1.6
5 0 8.4 1.2 1.2
6 0 9 1.2 1.2
5 0 9.6 1.4 1.4
5 0 9.75 1.3 1.3
5 0 9.9 1.4 1.4
5 0 10.05 1.5 1.5
5 0 10.2 1.6 1.6
5 0 10.35 1.7 1.7
5 0 10.5 1.8 1.8
5 0 10.65 1.9 1.9
5 0 10.8 1.8 1.8
6 0 11.4 1.2 1.2
5 0 12 1.6 1.6
6 0 12.6 1.6 1.6
5 0 13.2 1.6 1.6
6 0 13.8 1.6 1.6
5 0 14.4 1.6 1.6
6 0 14.55 1.3 1.3
6 0 14.7 1.4 1.4
6 0 14.85 1.5 1.5
6 0 15 1.6 1.6
6 0 15.15 1.7 1.7
6 0 15.3 1.8 1.8
6 0 15.45 1.9 1.9

6 0 15.6 1.8 1.8
5 0 16.8 1.5 1.5
6 0 18 1.5 1.5
5 0 19.2 1.5 1.5

5 0 20.4 1.8 1.8
5 0 25.2 1.2 1.2
6 0 26.1 1.8 1.8
6 0 26.4 1.6 1.6
6 0 27 1.2 1.2
5 0 27.6 1.4 1.4
6 0 27.9 1.4 1.4
5 0 28.2 1.6 1.6
6 0 28.5 1.0 1.0
6 0 28.8 1.2 1.2
6 0 29.1 1.4 1.4
6 0 29.4 1.6 1.6
6 0 29.7 1.8 1.8
5 0 30 2.0 2.0
6 0 30 2.0 2.0
5 0 31.2 2.0 2.0
6 0 31.2 2.0 2.0
5 0 31.8 2.0 2.0
6 0 31.8 2.0 2.0

5 0 32.4 0.8 0.8
6 0 32.4 0.8 0.8
5 0 32.55 0.8 0.8
6 0 32.55 0.8 0.8
5 0 32.7 0.8 0.8
6 0 32.7 0.8 0.8
5 0 32.85 0.8 0.8
6 0 32.85 0.8 0.8
5 0 33 0.8 0.8
6 0 33 0.8 0.8
5 0 33.15 0.8 0.8
6 0 33.15 0.8 0.8
5 0 33.3 0.8 0.8
6 0 33.3 0.8 0.8
5 0 33.45 0.8 0.8
6 0 33.45 0.8 0.8
5 0 33.75 1.2 1.2
6 0 33.75 1.2 1.2
5 0 33.9 1.2 1.2
6 0 33.9 1.2 1.2
5 0 34.05 1.2 1.2
6 0 34.05 1.2 1.2
5 0 34.2 1.2 1.2
6 0 34.2 1.2 1.2
5 0 34.35 1.2 1.2
6 0 34.35 1.2 1.2
5 0 34.5 1.2 1.2
6 0 34.5 1.2 1.2
5 0 34.8 1.6 1.6
6 0 34.8 1.6 1.6
5 0 34.95 1.6 1.6
6 0 34.95 1.6 1.6
5 0 35.1 1.6 1.6
6 0 35.1 1.6 1.6
5 0 35.25 1.6 1.6
6 0 35.25 1.6 1.6
5 0 35.4 1.6 1.6
6 0 35.4 1.6 1.6
5 0 35.55 1.6 1.6
6 0 35.55 1.6 1.6
5 0 35.7 1.6 1.6
6 0 35.7 1.6 1.6
5 0 36 1.4 1.4
6 0 36 1.4 1.4
5 0 36.15 1.4 1.4
6 0 36.15 1.4 1.4
5 0 36.3 1.4 1.4
6 0 36.3 1.4 1.4
5 0 36.45 1.4 1.4
6 0 36.45 1.4 1.4
5 0 36.6 1.4 1.4
6 0 36.6 1.4 1.4
5 0 36.9 1.0 1.0
6 0 36.9 1.0 1.0
5 0 37.2 1.4 1.4
6 0 37.2 1.4 1.4
5 0 37.35 1.4 1.4
6 0 37.35 1.4 1.4
5 0 37.5 1.4 1.4
6 0 37.5 1.4 1.4
5 0 37.65 1.4 1.4
6 0 37.65 1.4 1.4
5 0 37.8 1.4 1.4
6 0 37.8 1.4 1.4
5 0 37.95 1.4 1.4
6 0 37.95 1.4 1.4
5 0 38.1 1.4 1.4
6 0 38.1 1.4 1.4
5 0 38.4 1.0 1.0
6 0 38.4 1.0 1.0
5 0 38.55 1.0 1.0
6 0 38.55 1.0 1.0
5 0 38.7 1.0 1.0
6 0 38.7 1.0 1.0
5 0 38.85 1.0 1.0
6 0 38.85 1.0 1.0
5 0 39 1.0 1.0
6 0 39 1.0 1.0
5 0 39.15 1.0 1.0
6 0 39.15 1.0 1.0
5 0 39.3 1.0 1.0
6 0 39.3 1.0 1.0
5 0 39.6 1.2 1.2
6 0 39.6 1.2 1.2
5 0 39.75 1.2 1.2
6 0 39.75 1.2 1.2
5 0 39.9 1.2 1.2
6 0 39.9 1.2 1.2
5 0 40.05 1.2 1.2
6 0 40.05 1.2 1.2
5 0 40.2 1.2 1.2
6 0 40.2 1.2 1.2
5 0 40.35 1.2 1.2
6 0 40.35 1.2 1.2
5 0 40.5 1.2 1.2
6 0 40.5 1.2 1.2
5 0 40.8 0.8 0.8
6 0 40.8 0.8 0.8
5 0 40.95 0.8 0.8
6 0 40.95 0.8 0.8
5 0 41.1 0.8 0.8
6 0 41.1 0.8 0.8
5 0 41.25 0.8 0.8
6 0 41.25 0.8 0.8
5 0 41.4 0.8 0.8
6 0 41.4 0.8 0.8
5 0 41.7 1.6 1.6
6 0 41.7 1.6 1.6

5 0 42 1.4 1.4
6 0 42 1.4 1.4
5 0 42.3 1.2 1.2
5 0 43.8 0.8 0.8
6 0 44.4 1.2 1.2
6 0 46.2 0.8 0.8
5 0 46.8 1.2 1.2
5 0 47.1 1.6 1.6
5 0 47.4 1.4 1.4
5 0 48.6 1.4 1.4
5 0 48.9 1.2 1.2
6 0 49.5 1.2 1.2
6 0 50.4 1.2 1.2
6 0 51 1.0 1.0

5 0 51.6 1.6 1.6
6 0 51.6 1.6 1.6
5 0 52.2 1.6 1.6
6 0 52.2 1.6 1.6
5 0 52.8 1.0 1.0
6 0 52.8 1.0 1.0
5 0 53.4 1.6 1.6
6 0 53.4 1.6 1.6
5 0 54 1.6 1.6
6 0 54 1.6 1.6
5 0 54.6 1.6 1.6
6 0 54.6 1.6 1.6
5 0 55.2 1.0 1.0
6 0 55.2 1.0 1.0
5 0 55.8 1.6 1.6
6 0 55.8 1.6 1.6
5 0 56.4 1.6 1.6
6 0 56.4 1.6 1.6
5 0 57 1.6 1.6
6 0 57 1.6 1.6
5 0 57.6 1.0 1.0
6 0 57.6 1.0 1.0
5 0 58.2 1.6 1.6
6 0 58.2 1.6 1.6
5 0 58.8 1.0 1.0
6 0 58.8 1.0 1.0
5 0 59.4 1.6 1.6
6 0 59.4 1.6 1.6
5 0 60 1.0 1.0
6 0 60 1.0 1.0
5 0 60.6 1.6 1.6
6 0 60.6 1.6 1.6

5 0 61.2 1.2 1.2
6 0 61.2 1.2 1.2
5 0 61.5 1.2 1.2
6 0 61.5 1.2 1.2
5 0 61.8 1.2 1.2
6 0 61.8 1.2 1.2
5 0 62.1 1.2 1.2
6 0 62.1 1.2 1.2
5 0 62.4 1.2 1.2
6 0 62.4 1.2 1.2
5 0 62.7 1.2 1.2
6 0 62.7 1.2 1.2
5 0 63 0.8 0.8
6 0 63 0.8 0.8
5 0 63.3 0.8 0.8
6 0 63.3 0.8 0.8
5 0 63.6 1.0 1.0
6 0 63.6 1.0 1.0
5 0 63.9 1.0 1.0
6 0 63.9 1.0 1.0
5 0 64.2 1.2 1.2
6 0 64.2 1.2 1.2
5 0 64.5 1.2 1.2
6 0 64.5 1.2 1.2
5 0 64.8 1.4 1.4
6 0 64.8 1.4 1.4
5 0 65.1 1.4 1.4
6 0 65.1 1.4 1.4
5 0 65.4 1.6 1.6
6 0 65.4 1.6 1.6
5 0 65.7 1.6 1.6
6 0 65.7 1.6 1.6
5 0 66 1.8 1.8
6 0 66 1.8 1.8
5 0 66.3 1.8 1.8
6 0 66.3 1.8 1.8
5 0 66.6 1.8 1.8
6 0 66.6 1.8 1.8
5 0 66.9 1.8 1.8
6 0 66.9 1.8 1.8
5 0 67.2 1.8 1.8
6 0 67.2 1.8 1.8
5 0 67.5 1.8 1.8
6 0 67.5 1.8 1.8
5 0 67.8 1.8 1.8
6 0 67.8 1.8 1.8
5 0 68.1 1.8 1.8
6 0 68.1 1.8 1.8
5 0 68.4 1.0 1.0
6 0 68.4 1.0 1.0
5 0 68.7 1.0 1.0
6 0 68.7 1.0 1.0
5 0 69 1.0 1.0
6 0 69 1.0 1.0
5 0 69.3 1.0 1.0
6 0 69.3 1.0 1.0
5 0 69.6 1.0 1.0
6 0 69.6 1.0 1.0
5 0 69.9 1.0 1.0
6 0 69.9 1.0 1.0
5 0 70.2 1.0 1.0
6 0 70.2 1.0 1.0

5 0 71.1 1.8 1.8
6 0 71.1 1.8 1.8
5 0 71.4 1.8 1.8
6 0 71.4 1.8 1.8
5 0 71.7 1.8 1.8
6 0 71.7 1.8 1.8
5 0 72 1.8 1.8
6 0 72 1.8 1.8
5 0 72.3 1.8 1.8
6 0 72.3 1.8 1.8
5 0 72.6 1.4 1.4
6 0 72.6 1.4 1.4
5 0 72.9 1.4 1.4
6 0 72.9 1.4 1.4
5 0 73.5 1.8 1.8
6 0 73.5 1.8 1.8
5 0 73.8 1.8 1.8
6 0 73.8 1.8 1.8
5 0 74.1 1.8 1.8
6 0 74.1 1.8 1.8
5 0 74.4 1.8 1.8
6 0 74.4 1.8 1.8
5 0 74.7 1.8 1.8
6 0 74.7 1.8 1.8
5 0 75 1.4 1.4
6 0 75 1.4 1.4
5 0 75.3 1.4 1.4
6 0 75.3 1.4 1.4
5 0 75.6 1.6 1.6
6 0 75.6 1.6 1.6
5 0 75.9 1.8 1.8
6 0 75.9 1.8 1.8
5 0 76.2 1.6 1.6
6 0 76.2 1.6 1.6
5 0 76.5 1.6 1.6
6 0 76.5 1.6 1.6
5 0 76.8 1.6 1.6
6 0 76.8 1.6 1.6
5 0 77.1 1.6 1.6
6 0 77.1 1.6 1.6
5 0 77.4 1.4 1.4
6 0 77.4 1.4 1.4
5 0 77.7 1.4 1.4
6 0 77.7 1.4 1.4
5 0 78.3 1.8 1.8
6 0 78.3 1.8 1.8
5 0 78.6 1.8 1.8
6 0 78.6 1.8 1.8
5 0 78.9 1.8 1.8
6 0 78.9 1.8 1.8
5 0 79.2 1.8 1.8
6 0 79.2 1.8 1.8
5 0 79.5 1.8 1.8
6 0 79.5 1.8 1.8
5 0 79.8 1.6 1.6
6 0 79.8 1.6 1.6

5 0 80.4 0.7 0.7
5 0 80.55 0.8 0.8
5 0 80.7 0.9 0.9
5 0 80.85 1.0 1.0
5 0 81 1.1 1.1
5 0 81.15 1.2 1.2
5 0 81.3 1.3 1.3
5 0 81.45 1.4 1.4
6 0 81.75 1.3 1.3
6 0 81.9 1.4 1.4
6 0 82.05 1.5 1.5
6 0 82.2 1.6 1.6
6 0 82.35 1.7 1.7
6 0 82.5 1.8 1.8
6 0 82.65 1.9 1.9
5 0 82.8 2.0 2.0
6 0 82.8 2.0 2.0
EOF
