90 200
2 2 24.75
3 2 24.825
1 2 24.9
4 2 25.05

1 0 25.2
2 0 25.35
3 0 25.425
4 0 25.5
3 0 25.65
2 0 25.8
1 0 25.95
2 0 26.1
3 0 26.25
4 1 26.4
3 1 26.55
4 2 26.7
2 1 26.7
3 2 26.85
1 1 26.85
2 2 27
1 2 27
4 0 27.15
1 0 27.3
3 0 27.45
2 0 27.525
1 0 27.6
2 0 27.675
3 0 27.75
4 0 27.825
2 0 27.9
4 0 28.05
3 0 28.125
2 0 28.2
1 0 28.275
3 0 28.35
1 0 28.65
2 0 28.725
3 0 28.8
4 0 28.875
2 0 28.95
3 0 29.025
1 0 29.1
2 0 29.25
1 0 29.4
2 0 29.55
3 0 29.7
4 0 29.85

1 0 30
2 0 30.15
3 0 30.3
2 0 30.45
4 0 30.6
3 0 30.75
2 0 30.9
3 0 31.05
1 0 31.2
2 0 31.35
3 0 31.5
2 0 31.65
1 0 31.8
2 0 31.95
3 0 32.1
4 0 32.25

3 0 33
1 0 33.6
2 0 33.75
4 0 33.9
3 0 34.2
1 0 34.8
1 0 35.1
3 0 35.4
1 0 35.85
2 0 36
3 0 36.15
4 0 36.3
1 0 36.45
2 0 36.6
4 0 36.75
3 0 36.825
2 0 36.9
4 0 37.05
1 0 37.2
2 0 37.35
1 0 37.65
3 0 37.8
4 0 38.4
1 0 38.7
2 0 39
3 0 39.3
2 0 39.6
1 0 39.75
3 0 40.2
1 0 40.8
3 0 41.1
4 0 41.1
4 0 41.4
3 0 41.4
2 0 41.475
1 0 41.55
4 0 41.7
2 0 41.85
3 0 41.925

4 1 42
1 0 42
4 2 43.5
1 0 43.5
2 0 43.8
4 0 44.1
3 0 44.4
2 1 44.4
2 2 45.9
1 0 45.9
2 0 46.2
3 0 46.5
2 0 46.8
4 1 46.8
4 2 48.6
2 1 48.6
2 2 49.2
1 1 49.2
1 2 49.8
2 1 49.8
2 2 50.4
3 1 50.4
3 2 51
4 1 51
4 2 51.6

1 0 51.75
2 0 51.9
1 0 52.05
2 0 52.2
3 0 52.35
2 0 52.5
1 0 52.65
4 1 52.8
4 2 53.1
3 0 53.1
2 1 53.25
2 2 53.55
4 0 53.55
1 1 53.7
1 2 54
4 0 54
3 0 54.075
2 0 54.15
1 0 54.225
4 0 54.3
1 0 54.45
2 0 54.525
3 0 54.6
4 0 54.675
1 0 54.75
4 0 55.05
3 0 55.125
2 0 55.2
1 0 55.275
2 0 55.35  
4 0 56.4
3 0 56.7
4 0 57
2 0 57.15
4 0 57.45
2 0 57.6
3 0 57.9
4 0 58.05
4 0 58.65
3 0 58.8
1 0 59.25
2 0 59.4
4 0 59.85
3 0 60
1 0 60.15
2 0 60.3
4 0 60.45
1 0 60.6
2 0 60.75
3 0 60.9
4 0 61.05

1 0 61.2
3 0 61.5
1 0 61.8
2 0 61.95
4 0 62.1
3 0 62.25
1 0 62.55
3 0 62.7
1 0 63
2 0 63.15
4 0 63.3
1 0 63.6
3 0 63.9
1 0 64.2
2 0 64.35
4 0 64.5
3 0 64.65
1 0 64.95
2 0 65.1
1 0 65.25
3 0 65.325
4 0 65.4
2 0 65.475
1 0 65.55
4 0 65.7
2 0 65.85
3 0 65.925

1 0 66
3 0 66.3
1 0 66.6
2 0 66.75
4 0 66.9
3 0 67.05
1 0 67.35
3 0 67.5
1 0 67.8
2 0 67.95
4 0 68.1
1 0 68.4
3 0 68.7
1 0 69
2 0 69.15
4 0 69.3
3 0 69.45
1 0 69.75
2 0 69.9
1 0 70.05
3 0 70.125
4 0 70.2
2 0 70.275
1 0 70.35
4 0 70.5
2 0 70.65
3 0 70.725

1 1 70.8
2 1 70.8
1 2 70.95
2 2 70.95
1 1 71.1
3 1 71.1
1 2 71.25
3 2 71.25
2 1 71.4
3 1 71.4
2 2 71.55
3 2 71.55
3 1 71.7
4 1 71.7
3 2 71.85
4 2 71.85
2 1 72
4 1 72
2 2 72.15
4 2 72.15
2 1 72.3
3 1 72.3
2 2 72.45
3 2 72.45
1 1 72.6
3 1 72.6
1 2 72.75
3 2 72.75
2 1 72.9
3 1 72.9
2 2 73.05
3 2 73.05
1 1 73.2
2 1 73.2
1 2 73.35
2 2 73.35
1 1 73.5
3 1 73.5
1 2 73.65
3 2 73.65
2 1 73.8
3 1 73.8
2 2 73.95
3 2 73.95
3 1 74.1
4 1 74.1
3 2 74.25
4 2 74.25
2 1 74.4
4 1 74.4
2 2 74.55
4 2 74.55
2 1 74.7
3 1 74.7
2 2 74.85
3 2 74.85
1 1 75
3 1 75
1 2 75.15
3 2 75.15
2 1 75.3
3 1 75.3
2 2 75.45
3 2 75.45
1 1 75.6
2 1 75.6
1 2 75.75
2 2 75.75
1 1 75.9
3 1 75.9
1 2 76.05
3 2 76.05
2 1 76.2
3 1 76.2
2 2 76.35
3 2 76.35
2 1 76.5
4 1 76.5
2 2 76.65
4 2 76.65
3 1 76.8
4 1 76.8
3 2 76.95
4 2 76.95
1 1 77.1
4 1 77.1
1 2 77.25
4 2 77.25
3 1 77.4
4 1 77.4
3 2 77.55
4 2 77.55
2 1 77.7
3 1 77.7
2 2 77.85
3 2 77.85
1 1 78
2 1 78
1 2 78.15
2 2 78.15
1 1 78.3
3 1 78.3
1 2 78.45
3 2 78.45
2 1 78.6
3 1 78.6
2 2 78.75
3 2 78.75
3 1 78.9
4 1 78.9
3 2 79.05
4 2 79.05
2 1 79.2
4 1 79.2
2 2 79.35
4 2 79.35
2 1 79.5
3 1 79.5
2 2 79.65
3 2 79.65
2 1 79.8
3 1 79.8
2 2 79.95
3 2 79.95
1 1 80.1
2 1 80.1
1 2 80.25
2 2 80.25

1 1 80.4
4 1 80.4
2 1 81.6
3 1 81.6
1 2 82.8
2 2 82.8
3 2 82.8
4 2 82.8
-----
5 0 1.2 1.0 1.0
6 0 1.2 1.0 1.0
5 0 2.4 1.4 1.4
6 0 2.4 1.4 1.4
5 0 3.3 1.8 1.8
6 0 3.3 1.8 1.8
5 0 3.6 2.0 2.0
6 0 3.6 2.0 2.0

6 0 3.75 0.8 0.8
5 0 3.9 0.8 0.8
6 0 4.05 1.0 1.0
5 0 4.2 1.0 1.0
6 0 4.35 1.2 1.2
5 0 4.5 1.2 1.2
6 0 4.65 1.4 1.4
5 0 4.95 1.4 1.4
6 0 4.9875 1.4 1.4
5 0 5.025 1.0 1.0
6 0 5.0625 1.0 1.0
5 0 5.1 1.4 1.4
6 0 5.1 1.4 1.4
6 0 5.25 1.4 1.4
5 0 5.4 1.6 1.6
6 0 5.55 1.6 1.6
5 0 5.7 1.8 1.8
6 0 5.85 1.8 1.8

6 0 6 1.4 1.4
5 0 6.3 1.0 1.0
5 0 6.6 1.4 1.4
6 0 6.9 1.0 1.0
6 0 7.2 1.4 1.6
5 0 7.5 1.0 1.2
5 0 7.8 1.4 1.6
6 0 8.1 1.0 1.2
6 0 8.4 1.4 1.4
5 0 8.7 1.0 1.0
5 0 9 1.4 1.4
6 0 9.3 1.0 1.0
6 0 9.5 1.4 1.6
5 0 9.75 1.4 1.4
6 0 9.7875 1.4 1.4
5 0 9.825 1.0 1.0
6 0 9.8625 1.0 1.0
5 0 9.9 1.4 1.4
6 0 9.9 1.4 1.4
6 0 10.05 1.4 1.4
5 0 10.2 1.6 1.6
6 0 10.35 1.6 1.6
5 0 10.5 1.8 1.8
6 0 10.65 1.8 1.8

6 0 10.8 1.4 1.4
5 0 11.1 1.0 1.0
5 0 11.4 1.4 1.4
6 0 11.7 1.0 1.0
6 0 12 1.4 1.6
5 0 12.3 1.0 1.2
5 0 12.6 1.4 1.6
6 0 12.9 1.0 1.2
6 0 13.2 1.4 1.4
5 0 13.5 1.0 1.0
5 0 13.8 1.4 1.4
6 0 14.1 1.0 1.0
6 0 14.3 1.4 1.6
5 0 14.55 1.4 1.4
6 0 14.5875 1.4 1.4
5 0 14.625 1.0 1.0
6 0 14.6625 1.0 1.0
5 0 14.7 1.4 1.4
6 0 14.7 1.4 1.4
6 0 14.85 1.4 1.4
5 0 15 1.6 1.6
6 0 15.15 1.6 1.6
5 0 15.3 1.8 1.8
6 0 15.45 1.8 1.8

5 0 15.6 1.5 1.5
6 0 16.2 1.5 1.5
5 0 16.8 1.5 1.5
6 0 17.4 1.5 1.5
5 0 18 1.5 1.5
6 0 18.6 1.5 1.5
5 0 19.2 1.5 1.5
6 0 19.8 1.5 1.5
6 0 19.8 1.5 1.5

6 0 20.4 1.2 1.2
6 0 21.3 1.8 1.8
6 0 21.6 1.8 1.6
6 0 22.2 1.2 1.2
6 0 22.8 1.4 1.4
6 0 23.1 1.4 1.4
6 0 23.4 1.4 1.6
6 0 23.7 1.4 1.0
6 0 24 1.2 1.2
6 0 24.3 1.2 1.4
6 0 24.6 1.2 1.6
6 0 24.9 1.2 1.8
5 0 25.2 1.2 1.2
5 0 26.1 1.8 1.8
5 0 26.4 1.8 1.6
5 0 27 1.2 1.2
5 0 27.6 1.4 1.4
5 0 27.9 1.4 1.4
5 0 28.2 1.4 1.6
5 0 28.5 1.4 1.0
5 0 28.8 1.2 1.2
5 0 29.1 1.2 1.4
5 0 29.4 1.2 1.6
5 0 29.7 1.2 1.8

5 0 30 1.2 1.5
6 0 30 1.2 1.5
5 0 31.2 -0.5 1.5
6 0 31.2 -0.5 1.5
5 0 31.8 -1.0 1.5
6 0 31.8 -1.0 1.5

5 0 32.4 0.8 0.8
6 0 32.4 0.8 0.8
5 0 32.55 0.8 0.8
6 0 32.55 0.8 0.8
5 0 32.7 0.8 0.8
6 0 32.7 0.8 0.8
5 0 32.85 0.8 0.8
6 0 32.85 0.8 0.8
5 0 33 0.8 0.8
6 0 33 0.8 0.8
5 0 33.15 0.8 0.8
6 0 33.15 0.8 0.8
5 0 33.3 0.8 0.8
6 0 33.3 0.8 0.8
5 0 33.45 0.8 0.8
6 0 33.45 0.8 0.8
5 0 33.6 0.8 0.8
6 0 33.6 0.8 0.8
5 0 33.75 1.2 1.2
6 0 33.75 1.2 1.2
5 0 33.9 1.2 1.2
6 0 33.9 1.2 1.2
5 0 34.05 1.2 1.2
6 0 34.05 1.2 1.2
5 0 34.2 1.2 1.2
6 0 34.2 1.2 1.2
5 0 34.35 1.2 1.2
6 0 34.35 1.2 1.2
5 0 34.5 1.2 1.2
6 0 34.5 1.2 1.2
5 0 34.65 1.2 1.2
6 0 34.65 1.2 1.2
5 0 34.8 1.6 1.6
6 0 34.8 1.6 1.6
5 0 34.95 1.6 1.6
6 0 34.95 1.6 1.6
5 0 35.1 1.6 1.6
6 0 35.1 1.6 1.6
5 0 35.25 1.6 1.6
6 0 35.25 1.6 1.6
5 0 35.4 1.6 1.6
6 0 35.4 1.6 1.6
5 0 35.55 1.6 1.6
6 0 35.55 1.6 1.6
5 0 35.7 1.6 1.6
6 0 35.7 1.6 1.6
5 0 35.85 1.6 1.6
6 0 35.85 1.6 1.6
5 0 36 1.4 1.4
6 0 36 1.4 1.4
5 0 36.15 1.4 1.4
6 0 36.15 1.4 1.4
5 0 36.3 1.4 1.4
6 0 36.3 1.4 1.4
5 0 36.45 1.4 1.4
6 0 36.45 1.4 1.4
5 0 36.6 1.4 1.4
6 0 36.6 1.4 1.4
5 0 36.75 1.4 1.4
6 0 36.75 1.4 1.4
5 0 36.9 1.0 1.0
6 0 36.9 1.0 1.0
5 0 37.05 1.0 1.0
6 0 37.05 1.0 1.0
5 0 37.2 1.4 1.4
6 0 37.2 1.4 1.4
5 0 37.35 1.4 1.4
6 0 37.35 1.4 1.4
5 0 37.5 1.4 1.4
6 0 37.5 1.4 1.4
5 0 37.65 1.4 1.4
6 0 37.65 1.4 1.4
5 0 37.8 1.4 1.4
6 0 37.8 1.4 1.4
5 0 37.95 1.4 1.4
6 0 37.95 1.4 1.4
5 0 38.1 1.4 1.4
6 0 38.1 1.4 1.4
5 0 38.25 1.4 1.4
6 0 38.25 1.4 1.4
5 0 38.4 1.0 1.0
6 0 38.4 1.0 1.0
5 0 38.55 1.0 1.0
6 0 38.55 1.0 1.0
5 0 38.7 1.0 1.0
6 0 38.7 1.0 1.0
5 0 38.85 1.0 1.0
6 0 38.85 1.0 1.0
5 0 39 1.0 1.0
6 0 39 1.0 1.0
5 0 39.15 1.0 1.0
6 0 39.15 1.0 1.0
5 0 39.3 1.0 1.0
6 0 39.3 1.0 1.0
5 0 39.45 1.0 1.0
6 0 39.45 1.0 1.0
5 0 39.6 1.2 1.2
6 0 39.6 1.2 1.2
5 0 39.75 1.2 1.2
6 0 39.75 1.2 1.2
5 0 39.9 1.2 1.2
6 0 39.9 1.2 1.2
5 0 40.05 1.2 1.2
6 0 40.05 1.2 1.2
5 0 40.2 1.2 1.2
6 0 40.2 1.2 1.2
5 0 40.35 1.2 1.2
6 0 40.35 1.2 1.2
5 0 40.5 1.2 1.2
6 0 40.5 1.2 1.2
5 0 40.65 1.2 1.2
6 0 40.65 1.2 1.2
5 0 40.8 0.8 0.8
6 0 40.8 0.8 0.8
5 0 40.95 0.8 0.8
6 0 40.95 0.8 0.8
5 0 41.1 0.8 0.8
6 0 41.1 0.8 0.8
5 0 41.25 0.8 0.8
6 0 41.25 0.8 0.8
5 0 41.4 0.8 0.8
6 0 41.4 0.8 0.8
5 0 41.55 0.8 0.8
6 0 41.55 0.8 0.8
5 0 41.7 1.6 1.6
6 0 41.7 1.6 1.6
5 0 41.85 1.6 1.6
6 0 41.85 1.6 1.6

5 0 42 1.2 1.2
5 0 42.3 1.2 1.6
6 0 42.6 1.2 1.2
6 0 42.9 1.2 1.6
5 0 43.2 1.2 1.2
5 0 43.5 1.2 1.6
6 0 43.8 1.4 1.4
5 0 44.1 1.4 1.4
6 0 44.4 1.2 1.2
6 0 44.7 1.2 1.6
5 0 45 1.2 1.2
5 0 45.3 1.2 1.6
6 0 45.6 1.2 1.2
6 0 45.9 1.2 1.6
5 0 46.2 1.4 1.4
6 0 46.5 1.4 1.4
5 0 46.8 1.2 1.2
5 0 47.1 1.2 1.6
6 0 47.4 1.2 1.2
6 0 47.7 1.2 1.6
5 0 48 1.2 1.2
5 0 48.3 1.2 1.6
6 0 48.6 1.4 1.4
5 0 48.9 1.4 1.4
6 0 49.2 1.2 1.2
6 0 49.5 1.2 1.6
5 0 49.8 1.2 1.2
5 0 50.1 1.2 1.6
6 0 50.4 1.2 1.2
6 0 50.7 1.2 1.6
5 0 51 1.4 1.4
6 0 51.3 1.4 1.4

5 0 51.6 1.6 1.6
6 0 51.9 1.6 1.6
5 0 52.2 1.6 1.6
6 0 52.5 1.6 1.6
5 0 52.8 1.6 1.0
6 0 53.1 1.6 1.0
5 0 53.4 1.6 1.6
6 0 53.7 1.6 1.6
5 0 54 1.6 1.6
6 0 54.3 1.6 1.6
5 0 54.6 1.6 1.6
6 0 54.9 1.6 1.6
5 0 55.2 1.6 1.0
6 0 55.5 1.6 1.0
5 0 55.8 1.6 1.6
6 0 56.1 1.6 1.6
5 0 56.4 1.6 1.6
6 0 56.7 1.6 1.6
5 0 57 1.6 1.6
6 0 57.3 1.6 1.6
5 0 57.6 1.6 1.0
6 0 57.9 1.6 1.0
5 0 58.2 1.6 1.6
6 0 58.5 1.6 1.6
5 0 58.8 1.6 1.0
6 0 59.1 1.6 1.0
5 0 59.4 1.6 1.6
6 0 59.7 1.6 1.6
5 0 60 1.6 1.0
6 0 60.3 1.6 1.0
5 0 60.6 1.6 1.6
6 0 60.9 1.6 1.6

5 0 61.2 1.2 1.2
6 0 61.2 1.2 1.2
5 0 61.5 1.2 1.2
6 0 61.5 1.2 1.2
5 0 61.8 1.2 1.2
6 0 61.8 1.2 1.2
5 0 62.1 1.2 1.2
6 0 62.1 1.2 1.2
5 0 62.4 1.2 1.2
6 0 62.4 1.2 1.2
5 0 62.7 1.2 1.2
6 0 62.7 1.2 1.2
5 0 63 0.8 0.8
6 0 63 0.8 0.8
5 0 63.3 0.8 0.8
6 0 63.3 0.8 0.8
5 0 63.6 1.0 1.0
6 0 63.6 1.0 1.0
5 0 63.9 1.0 1.0
6 0 63.9 1.0 1.0
5 0 64.2 1.2 1.2
6 0 64.2 1.2 1.2
5 0 64.5 1.2 1.2
6 0 64.5 1.2 1.2
5 0 64.8 1.4 1.4
6 0 64.8 1.4 1.4
5 0 65.1 1.4 1.4
6 0 65.1 1.4 1.4
5 0 65.4 1.6 1.6
6 0 65.4 1.6 1.6
5 0 65.7 1.6 1.6
6 0 65.7 1.6 1.6
5 0 66 1.8 1.8
6 0 66 1.8 1.8
5 0 66.3 1.8 1.8
6 0 66.3 1.8 1.8
5 0 66.6 1.8 1.8
6 0 66.6 1.8 1.8
5 0 66.9 1.8 1.8
6 0 66.9 1.8 1.8
5 0 67.2 1.8 1.8
6 0 67.2 1.8 1.8
5 0 67.5 1.8 1.8
6 0 67.5 1.8 1.8
5 0 67.8 1.8 1.8
6 0 67.8 1.8 1.8
5 0 68.1 1.8 1.8
6 0 68.1 1.8 1.8
5 0 68.4 1.0 1.0
6 0 68.4 1.0 1.0
5 0 68.7 1.0 1.0
6 0 68.7 1.0 1.0
5 0 69 1.0 1.0
6 0 69 1.0 1.0
5 0 69.3 1.0 1.0
6 0 69.3 1.0 1.0
5 0 69.6 1.0 1.0
6 0 69.6 1.0 1.0
5 0 69.9 1.0 1.0
6 0 69.9 1.0 1.0
5 0 70.2 1.0 1.0
6 0 70.2 1.0 1.0

5 0 71.1 1.8 1.8
6 0 71.1 1.8 1.8
5 0 71.4 1.8 1.8
6 0 71.4 1.8 1.8
5 0 71.7 1.8 1.8
6 0 71.7 1.8 1.8
5 0 72 1.8 1.8
6 0 72 1.8 1.8
5 0 72.3 1.8 1.8
6 0 72.3 1.8 1.8
5 0 72.6 1.4 1.4
6 0 72.6 1.4 1.4
5 0 72.9 1.4 1.4
6 0 72.9 1.4 1.4
5 0 73.5 1.8 1.8
6 0 73.5 1.8 1.8
5 0 73.8 1.8 1.8
6 0 73.8 1.8 1.8
5 0 74.1 1.8 1.8
6 0 74.1 1.8 1.8
5 0 74.4 1.8 1.8
6 0 74.4 1.8 1.8
5 0 74.7 1.8 1.8
6 0 74.7 1.8 1.8
5 0 75 1.4 1.4
6 0 75 1.4 1.4
5 0 75.3 1.4 1.4
6 0 75.3 1.4 1.4
5 0 75.6 1.6 1.6
6 0 75.6 1.6 1.6
5 0 75.9 1.8 1.8
6 0 75.9 1.8 1.8
5 0 76.2 1.6 1.6
6 0 76.2 1.6 1.6
5 0 76.5 1.6 1.6
6 0 76.5 1.6 1.6
5 0 76.8 1.6 1.6
6 0 76.8 1.6 1.6
5 0 77.1 1.6 1.6
6 0 77.1 1.6 1.6
5 0 77.4 1.4 1.4
6 0 77.4 1.4 1.4
5 0 77.7 1.4 1.4
6 0 77.7 1.4 1.4
5 0 78.3 1.8 1.8
6 0 78.3 1.8 1.8
5 0 78.6 1.8 1.8
6 0 78.6 1.8 1.8
5 0 78.9 1.8 1.8
6 0 78.9 1.8 1.8
5 0 79.2 1.8 1.8
6 0 79.2 1.8 1.8
5 0 79.5 1.8 1.8
6 0 79.5 1.8 1.8
5 0 79.8 1.6 1.6
6 0 79.8 1.6 1.6

5 0 80.55 0.8 0.8
6 0 80.7 0.8 0.8
5 0 80.85 1.0 1.0
6 0 81 1.0 1.0
5 0 81.15 1.2 1.2
6 0 81.3 1.2 1.2
5 0 81.45 1.4 1.4
6 0 81.75 1.4 1.4
5 0 81.7875 1.4 1.4
6 0 81.825 1.0 1.0
5 0 81.8625 1.0 1.0
6 0 81.9 1.4 1.4
5 0 81.9 1.4 1.4
5 0 82.05 1.4 1.4
6 0 82.2 1.6 1.6
5 0 82.35 1.6 1.6
6 0 82.5 1.8 1.8
5 0 82.65 1.8 1.8
5 0 82.8 2.0 2.0
5 0 82.8 2.0 2.0
EOF
